Category,Label,Originated_By,Source,Text
indian news,1,the hindu,the hindu,sarvodaya sankalpa padayatra congress held gajwel constituency hyderabad
politics war economy health etc ,0,mary taylor,poltifact,say even child obamacare would still carry insurance cover pediatric maternity newborn care even though need
indian news,1,the hindu,the hindu,kurnool sanitation staff dump garbage front shop non payment user charge drinking water disconnect case non payment
politics war economy health etc ,0,erin burnett,poltifact,president trump decides deploy military domestically would mobilize military troop american soil first time since 1807
politics war economy health etc ,0,glenn grothman,poltifact,provision first bill pass house democrat would allow billion dollar aid send country use abortion
politics war economy health etc ,0,ron johnson,poltifact,say rus feingold vote give social security benefit illegal immigrant
politics war economy health etc ,0,donald trump,poltifact,joe biden democrat want prosecute american go church burning church
ukraine russia war,1,bbc,bbc,parent return holiday find son war scottish garage owner adam ennis 35 join international platoon 50 men ukraine
politics war economy health etc ,1,robin vos,poltifact,nine day deer hunt contributes billion revenue state wisconsin
politics war economy health etc ,0,donald trump,poltifact,say democrat want give undocumented immigrant car
indian news,1,the hindu,the hindu,sudden cardiac death due undetected coronary artery disease raise anxiety focus need regular cardiac evaluation
politics war economy health etc ,1,jackie dingfelder,poltifact,say 205 six mile run district already carry traffic
technology news,1,bbc,bbc,twitter poll call musk sell 10 tesla stake tesla bos promise honour outcome poll whichever way go
politics war economy health etc ,0,steve king,poltifact,say nothing obama billion request address child immigrant situation actually secures border
politics war economy health etc ,1,mitt romney,poltifact,former business partner robert gay say man help save daughter mitt romney
politics war economy health etc ,0,facebook posts,poltifact,asteroid warn nasa track 4km killer rock approach could end human civilisation
indian fake news,0,times of india,times of india,fake alert photo cm yogi watch hathras victim live cremation digitally manufacture
politics war economy health etc ,1,william devereaux,poltifact,import many hemp product country want grow
covid19 news,1,bbc,bbc,covid expose india crumble health sector indian doctor hope big investment smart tech improve fragment healthcare sector
indian news,1,the hindu,the hindu,trial run public bicycle share system start project plague delay
indian news,1,the hindu,the hindu,stalin call upon samsung set semiconductor manufacturing facility tamil nadu chief minister appeal follow mou company set compressor facility sriperumbudur
politics war economy health etc ,1,building a better ohio,poltifact,say reform state issue save taxpayer dollar
indian news,1,the hindu,the hindu,govt consider rail air connectivity ayodhya anjanadri bengaluru
indian fake news,0,times of india,times of india,fact check kashmiri woman ask rahul gandhi go kashmir
politics war economy health etc ,0,tweets,poltifact,list show 14 000 dead people vote wayne county michigan
politics war economy health etc ,0,chris christie,poltifact,say united state bad recovery economic recession since world war ii
politics war economy health etc ,0,rush limbaugh,poltifact,climate change nothing bunch computer model attempt tell u go happen 50 year 30 notice prediction never next year next 10 year always way way way way none u go around alive know whether true
covid19 news,1,bbc,bbc,long covid clinic open jersey new clinic support islander living long covid open next week general hospital
politics war economy health etc ,0,donald trump,poltifact,tremendous cheat new york
politics war economy health etc ,0,ron paul,poltifact,say anthony fauci statement coronavirus death rate 10 time seasonal flu claim without scientific basis
politics war economy health etc ,0,tommy thompson,poltifact,despite opposition national club growth club growth wisconsin endorse senate
politics war economy health etc ,0,marco rubio,poltifact,people town vote cut medicare spending people vote favor obamacare fact
indian news,1,the hindu,the hindu,cji lauds uae expat send aid crore flood hit kerala new delhi
politics war economy health etc ,1,gina raimondo,poltifact,pension fund city providence 30 percent fund level taveras take office
politics war economy health etc ,1,jefferson smith,poltifact,say agree mr hale give sweep break developer allow build infill housing without pay basic
politics war economy health etc ,0,viral image,poltifact,image show animal burning australia wildfire
politics war economy health etc ,0,facebook posts,poltifact,ice deport detain one white illegal immigrant
climate news,1,bbc,bbc,queen irritated climate change inaction monarch appear criticise people talk ahead cop26 summit
covid19 news,1,bbc,bbc,concern wind covid test minister minister reluctant wind wale covid 19 test regime say eluned morgan
politics war economy health etc ,0,david cicilline,poltifact,take office 2003 little reserve
politics war economy health etc ,1,steven goldstein,poltifact,poll show majority catholic favor marriage equality
politics war economy health etc ,0,donald trump,poltifact,fake news cnn bernie sander cut use term fake news describe network say technical difficulty
